sample_id,filename,fold,target,category,esc10,noise_type,noise_level_db,exposure_duration_hours,hour_of_day,day_of_week,hrv_score,sleep_quality_score,stress_level,cognitive_impact,fatigue_level,mental_health_impact,risk_category
1-17092-A-27,1-17092-A-27.wav,1,27,brushing_teeth,False,human_activity,27.69,0.79,8,0,86.09,8.13,1.06,1.0,1.0,3.67,Low
1-17092-B-27,1-17092-B-27.wav,1,27,brushing_teeth,False,human_activity,35.7,1.69,14,0,79.54,8.41,1.01,1.0,1.22,4.37,Low
1-17124-A-43,1-17124-A-43.wav,1,43,car_horn,False,traffic,108.09,4.5,7,3,58.28,5.86,3.91,4.06,2.86,42.8,Moderate
1-17150-A-12,1-17150-A-12.wav,1,12,crackling_fire,True,natural,43.24,1.35,3,2,80.15,8.24,1.14,1.0,1.44,5.53,Low
1-172649-A-40,1-172649-A-40.wav,1,40,helicopter,True,aircraft,109.75,0.28,8,1,81.49,8.2,1.68,1.0,2.07,10.89,Low
1-172649-B-40,1-172649-B-40.wav,1,40,helicopter,True,aircraft,119.64,0.29,23,4,74.09,8.51,1.56,1.85,1.66,13.01,Low
1-172649-C-40,1-172649-C-40.wav,1,40,helicopter,True,aircraft,107.62,0.36,5,2,84.24,7.23,1.0,1.97,1.49,20.11,Low
1-172649-D-40,1-172649-D-40.wav,1,40,helicopter,True,aircraft,102.54,0.27,18,3,86.71,9.79,2.1,2.24,1.23,11.23,Low
1-172649-E-40,1-172649-E-40.wav,1,40,helicopter,True,aircraft,105.57,0.23,1,0,86.57,9.51,1.21,2.34,1.35,7.5,Low
1-172649-F-40,1-172649-F-40.wav,1,40,helicopter,True,aircraft,97.61,0.28,17,4,72.51,8.04,1.87,1.9,1.69,15.76,Low
1-17295-A-29,1-17295-A-29.wav,1,29,drinking_sipping,False,human_activity,39.11,0.93,7,1,75.47,8.72,1.52,1.39,1.76,3.45,Low
1-17367-A-10,1-17367-A-10.wav,1,10,rain,True,natural,75.84,1.22,6,0,86.6,8.57,1.0,1.4,1.3,3.88,Low
1-17565-A-12,1-17565-A-12.wav,1,12,crackling_fire,True,natural,44.35,1.62,14,4,84.03,8.39,1.0,1.0,1.19,1.35,Low
1-17585-A-7,1-17585-A-7.wav,1,7,insects,False,natural,39.6,3.56,8,0,84.06,8.61,1.0,1.0,1.0,0.0,Low
1-17742-A-12,1-17742-A-12.wav,1,12,crackling_fire,True,natural,44.5,0.24,1,1,95.19,8.48,1.37,1.1,1.0,4.11,Low
1-17808-A-12,1-17808-A-12.wav,1,12,crackling_fire,True,natural,40.44,1.83,10,6,86.49,8.79,1.0,1.0,1.0,2.76,Low
1-17808-B-12,1-17808-B-12.wav,1,12,crackling_fire,True,natural,49.52,10.8,19,3,90.15,9.09,1.0,1.24,1.01,0.8,Low
1-1791-A-26,1-1791-A-26.wav,1,26,laughing,False,human_activity,61.35,0.86,19,5,90.14,10.0,2.03,1.78,1.0,1.75,Low
1-17970-A-4,1-17970-A-4.wav,1,4,frog,False,natural,42.94,1.18,7,6,84.82,8.97,1.0,1.17,1.0,1.55,Low
1-18074-A-6,1-18074-A-6.wav,1,6,hen,False,natural,72.62,1.17,16,3,87.0,7.87,1.0,1.12,1.0,6.74,Low
1-18074-B-6,1-18074-B-6.wav,1,6,hen,False,natural,73.29,7.66,19,0,92.63,8.43,1.0,1.0,1.33,3.88,Low
1-181071-A-40,1-181071-A-40.wav,1,40,helicopter,True,aircraft,114.59,0.38,23,4,75.92,7.72,2.93,2.01,1.66,13.69,Low
1-181071-B-40,1-181071-B-40.wav,1,40,helicopter,True,aircraft,90.58,0.24,22,0,80.02,7.61,1.23,1.25,1.0,6.32,Low
1-18527-A-44,1-18527-A-44.wav,1,44,engine,False,traffic,59.91,0.98,8,4,82.51,8.65,1.0,1.0,1.0,4.18,Low
1-18527-B-44,1-18527-B-44.wav,1,44,engine,False,traffic,80.32,0.1,4,2,76.1,7.97,1.31,1.22,1.0,7.22,Low
1-18631-A-23,1-18631-A-23.wav,1,23,breathing,False,human_activity,25.0,1.54,16,0,91.21,8.63,1.0,1.63,1.0,6.93,Low
1-18655-A-31,1-18655-A-31.wav,1,31,mouse_click,False,human_activity,29.16,1.73,10,3,86.16,8.11,1.0,1.22,1.0,4.11,Low
1-187207-A-20,1-187207-A-20.wav,1,20,crying_baby,True,human_activity,71.49,1.84,21,1,80.25,8.93,1.71,1.3,1.0,2.16,Low
1-18755-A-4,1-18755-A-4.wav,1,4,frog,False,natural,50.28,8.39,23,1,85.4,8.15,1.04,1.0,1.38,2.71,Low
1-18755-B-4,1-18755-B-4.wav,1,4,frog,False,natural,60.26,0.46,10,1,86.78,9.03,1.16,1.04,1.64,0.0,Low
1-18757-A-4,1-18757-A-4.wav,1,4,frog,False,natural,44.0,0.1,6,0,82.82,8.43,1.07,1.46,1.77,3.69,Low
1-18810-A-49,1-18810-A-49.wav,1,49,hand_saw,False,construction,113.16,12.0,12,0,40.51,4.04,7.54,6.06,5.83,84.29,Severe
1-19026-A-43,1-19026-A-43.wav,1,43,car_horn,False,traffic,108.37,12.0,1,4,44.3,5.92,5.29,4.44,4.43,56.85,High
1-19111-A-24,1-19111-A-24.wav,1,24,coughing,False,human_activity,68.61,2.24,22,2,84.32,7.39,2.35,1.23,1.0,10.71,Low
1-19118-A-24,1-19118-A-24.wav,1,24,coughing,False,human_activity,78.97,2.86,18,2,85.78,8.29,2.32,1.36,2.34,14.24,Low
1-19501-A-7,1-19501-A-7.wav,1,7,insects,False,natural,52.82,2.2,17,5,76.38,8.11,1.89,1.07,1.17,4.83,Low
1-196660-A-8,1-196660-A-8.wav,1,8,sheep,False,natural,73.61,0.16,13,6,84.96,9.24,1.07,2.1,1.0,3.94,Low
1-196660-B-8,1-196660-B-8.wav,1,8,sheep,False,natural,71.11,2.57,10,6,80.35,7.8,1.2,1.0,1.0,3.02,Low
1-19840-A-36,1-19840-A-36.wav,1,36,vacuum_cleaner,False,human_activity,73.48,2.06,17,2,80.82,8.79,1.26,1.55,1.13,7.45,Low
1-19872-A-36,1-19872-A-36.wav,1,36,vacuum_cleaner,False,human_activity,80.44,0.39,7,6,79.34,8.68,1.6,1.0,1.38,1.94,Low
1-19872-B-36,1-19872-B-36.wav,1,36,vacuum_cleaner,False,human_activity,77.94,1.99,5,0,81.72,9.31,2.23,1.0,1.56,5.54,Low
1-19898-A-41,1-19898-A-41.wav,1,41,chainsaw,True,construction,93.97,0.87,6,5,72.44,7.99,2.01,1.95,1.57,23.02,Low
1-19898-B-41,1-19898-B-41.wav,1,41,chainsaw,True,construction,104.9,0.11,12,1,84.13,9.85,1.32,1.0,1.77,6.57,Low
1-19898-C-41,1-19898-C-41.wav,1,41,chainsaw,True,construction,111.67,12.0,18,0,20.0,2.78,10.0,8.95,7.0,100.0,Severe
1-20133-A-39,1-20133-A-39.wav,1,39,glass_breaking,False,human_activity,68.08,2.71,19,6,82.5,8.66,1.0,1.0,1.19,7.74,Low
1-202111-A-3,1-202111-A-3.wav,1,3,cow,False,natural,54.79,0.1,13,4,81.1,7.78,1.0,2.64,1.67,5.03,Low
1-20545-A-28,1-20545-A-28.wav,1,28,snoring,False,human_activity,62.66,7.27,6,1,80.56,8.49,1.0,1.16,1.28,4.67,Low
1-20736-A-18,1-20736-A-18.wav,1,18,toilet_flush,False,human_activity,65.28,0.6,18,1,89.58,9.07,1.25,1.6,1.0,5.26,Low
1-208757-A-2,1-208757-A-2.wav,1,2,pig,False,natural,66.1,0.91,15,3,86.24,8.21,1.22,1.72,1.67,7.89,Low
1-208757-B-2,1-208757-B-2.wav,1,2,pig,False,natural,62.4,4.52,8,0,93.25,8.55,1.51,1.55,1.0,4.56,Low
1-208757-C-2,1-208757-C-2.wav,1,2,pig,False,natural,64.01,2.26,12,0,85.52,8.32,1.0,1.0,1.33,5.84,Low
1-208757-D-2,1-208757-D-2.wav,1,2,pig,False,natural,63.08,1.06,11,4,88.87,8.4,1.23,1.25,1.82,2.49,Low
1-208757-E-2,1-208757-E-2.wav,1,2,pig,False,natural,50.8,1.3,15,6,82.81,7.8,1.0,1.0,1.0,6.88,Low
1-211527-A-20,1-211527-A-20.wav,1,20,crying_baby,True,human_activity,67.71,3.47,8,5,80.04,8.43,1.6,1.37,1.39,7.98,Low
1-211527-B-20,1-211527-B-20.wav,1,20,crying_baby,True,human_activity,80.49,0.71,22,1,76.98,7.98,1.12,1.07,2.09,7.23,Low
1-211527-C-20,1-211527-C-20.wav,1,20,crying_baby,True,human_activity,92.28,2.66,9,3,75.93,8.48,2.01,2.02,1.81,16.58,Low
1-21189-A-10,1-21189-A-10.wav,1,10,rain,True,natural,49.53,0.14,6,6,90.47,8.4,1.0,1.0,1.0,10.17,Low
1-21421-A-46,1-21421-A-46.wav,1,46,church_bells,False,human_activity,107.01,0.78,22,3,79.18,8.12,1.36,1.12,1.02,12.59,Low
1-21896-A-35,1-21896-A-35.wav,1,35,washing_machine,False,human_activity,79.92,0.18,20,0,83.7,8.64,1.29,1.0,1.83,7.92,Low
1-21934-A-38,1-21934-A-38.wav,1,38,clock_tick,True,human_activity,25.0,0.79,10,3,93.28,7.46,1.11,1.29,1.0,4.77,Low
1-21935-A-38,1-21935-A-38.wav,1,38,clock_tick,True,human_activity,25.77,1.11,13,4,79.27,8.95,1.0,2.54,1.0,5.9,Low
1-223162-A-25,1-223162-A-25.wav,1,25,footsteps,False,human_activity,50.14,0.2,11,2,79.81,8.11,1.0,1.0,1.66,5.34,Low
1-22694-A-20,1-22694-A-20.wav,1,20,crying_baby,True,human_activity,78.83,2.03,4,2,83.94,7.41,2.11,1.5,1.0,13.14,Low
1-22694-B-20,1-22694-B-20.wav,1,20,crying_baby,True,human_activity,91.41,0.21,23,1,76.77,8.7,1.69,1.0,1.0,8.51,Low
1-22804-A-46,1-22804-A-46.wav,1,46,church_bells,False,human_activity,83.23,0.22,18,2,77.88,8.05,1.0,1.81,2.09,6.6,Low
1-22882-A-44,1-22882-A-44.wav,1,44,engine,False,traffic,99.47,2.07,10,2,78.5,8.01,1.96,4.13,1.87,25.94,Moderate
1-23094-A-15,1-23094-A-15.wav,1,15,water_drops,False,natural,35.09,2.48,7,2,82.49,8.49,1.26,1.09,1.0,8.14,Low
1-23094-B-15,1-23094-B-15.wav,1,15,water_drops,False,natural,33.25,2.97,19,2,86.08,7.66,1.26,1.0,1.0,2.83,Low
1-23222-A-19,1-23222-A-19.wav,1,19,thunderstorm,False,natural,120.24,1.48,6,6,72.03,7.69,1.12,1.0,1.42,6.84,Low
1-23222-B-19,1-23222-B-19.wav,1,19,thunderstorm,False,natural,115.99,0.31,16,2,80.41,8.35,1.52,1.0,1.0,4.63,Low
1-23706-A-49,1-23706-A-49.wav,1,49,hand_saw,False,construction,118.49,12.0,22,2,20.0,4.93,8.04,6.29,6.16,89.61,Severe
1-23996-A-35,1-23996-A-35.wav,1,35,washing_machine,False,human_activity,82.51,1.27,8,4,77.5,8.0,1.85,1.34,1.75,11.68,Low
1-23996-B-35,1-23996-B-35.wav,1,35,washing_machine,False,human_activity,81.43,2.42,21,5,80.98,7.88,1.89,1.14,1.83,16.28,Low
1-24074-A-43,1-24074-A-43.wav,1,43,car_horn,False,traffic,95.4,9.5,12,3,57.94,6.99,4.75,2.41,3.92,37.34,Moderate
1-24076-A-43,1-24076-A-43.wav,1,43,car_horn,False,traffic,96.66,0.51,0,5,82.88,7.46,1.0,2.01,1.0,15.9,Low
1-24524-A-19,1-24524-A-19.wav,1,19,thunderstorm,False,natural,85.85,1.82,16,1,82.35,8.55,1.0,2.43,2.68,4.22,Low
1-24524-B-19,1-24524-B-19.wav,1,19,thunderstorm,False,natural,92.83,4.94,17,4,76.54,8.19,1.87,1.94,1.0,9.74,Low
1-24524-C-19,1-24524-C-19.wav,1,19,thunderstorm,False,natural,93.37,0.78,0,2,89.57,9.15,1.0,1.49,1.55,6.08,Low
1-24796-A-47,1-24796-A-47.wav,1,47,airplane,False,aircraft,88.94,0.34,18,0,81.18,7.41,2.01,2.05,1.7,16.97,Low
1-254507-A-43,1-254507-A-43.wav,1,43,car_horn,False,traffic,85.75,12.0,13,5,64.47,6.56,3.32,3.56,2.32,38.52,Moderate
1-25777-A-48,1-25777-A-48.wav,1,48,fireworks,False,human_activity,126.45,0.92,15,4,72.09,7.66,1.51,1.52,1.38,19.9,Low
1-25781-A-48,1-25781-A-48.wav,1,48,fireworks,False,human_activity,130.0,0.89,2,1,90.6,8.09,1.44,3.03,1.99,16.68,Low
1-260640-A-2,1-260640-A-2.wav,1,2,pig,False,natural,73.85,12.0,12,6,83.58,7.11,1.75,1.0,2.07,12.86,Low
1-260640-B-2,1-260640-B-2.wav,1,2,pig,False,natural,58.33,0.17,20,5,90.85,8.59,1.0,1.0,1.4,2.89,Low
1-260640-C-2,1-260640-C-2.wav,1,2,pig,False,natural,39.64,0.95,3,2,82.62,7.8,1.0,1.0,1.53,9.48,Low
1-26143-A-21,1-26143-A-21.wav,1,21,sneezing,True,human_activity,61.9,2.95,22,2,76.29,8.35,1.77,1.35,1.0,1.32,Low
1-26176-A-43,1-26176-A-43.wav,1,43,car_horn,False,traffic,92.08,3.13,23,6,75.13,6.71,3.36,3.19,1.6,27.29,Moderate
1-26177-A-43,1-26177-A-43.wav,1,43,car_horn,False,traffic,109.49,2.84,13,0,60.5,7.15,3.17,3.19,2.53,30.62,Moderate
1-26188-A-30,1-26188-A-30.wav,1,30,door_wood_knock,False,human_activity,65.11,0.77,6,6,85.43,7.54,1.0,1.2,1.0,8.47,Low
1-26222-A-10,1-26222-A-10.wav,1,10,rain,True,natural,43.6,0.3,10,1,82.76,7.58,1.0,1.32,1.31,4.8,Low
1-26806-A-1,1-26806-A-1.wav,1,1,rooster,True,natural,97.56,12.0,23,1,83.84,8.72,1.77,1.6,1.87,7.58,Low
1-27165-A-35,1-27165-A-35.wav,1,35,washing_machine,False,human_activity,92.97,0.79,8,2,79.24,8.83,1.01,1.75,1.56,6.32,Low
1-27166-A-35,1-27166-A-35.wav,1,35,washing_machine,False,human_activity,82.94,0.32,18,3,81.89,7.58,1.0,1.92,1.36,8.37,Low
1-27403-A-28,1-27403-A-28.wav,1,28,snoring,False,human_activity,69.04,0.51,13,1,85.86,8.69,1.0,1.0,1.54,7.69,Low
1-27405-A-28,1-27405-A-28.wav,1,28,snoring,False,human_activity,49.77,0.47,14,1,93.5,8.64,1.7,1.0,1.0,3.85,Low
1-27724-A-1,1-27724-A-1.wav,1,1,rooster,True,natural,75.32,3.49,6,0,80.4,8.63,1.14,1.29,1.0,5.31,Low
1-28005-A-18,1-28005-A-18.wav,1,18,toilet_flush,False,human_activity,75.48,0.89,9,0,79.21,8.31,1.16,1.0,1.02,6.18,Low
1-28135-A-11,1-28135-A-11.wav,1,11,sea_waves,True,natural,52.82,12.0,9,1,88.15,8.56,1.58,1.03,1.42,7.36,Low
1-28135-B-11,1-28135-B-11.wav,1,11,sea_waves,True,natural,63.13,0.93,0,1,86.54,8.68,1.0,1.04,1.36,4.68,Low
1-28808-A-43,1-28808-A-43.wav,1,43,car_horn,False,traffic,102.41,1.57,6,0,69.14,8.75,1.0,2.21,2.09,14.2,Low
1-29532-A-16,1-29532-A-16.wav,1,16,wind,False,natural,54.54,0.38,9,3,77.89,8.37,1.13,1.7,1.22,4.42,Low
1-29561-A-10,1-29561-A-10.wav,1,10,rain,True,natural,59.88,1.42,8,1,81.75,9.08,1.34,1.2,1.0,3.49,Low
1-29680-A-21,1-29680-A-21.wav,1,21,sneezing,True,human_activity,82.73,2.64,17,2,82.03,7.96,1.41,1.0,1.23,12.13,Low
1-30039-A-26,1-30039-A-26.wav,1,26,laughing,False,human_activity,54.51,0.82,11,0,82.45,7.34,1.38,1.7,1.08,3.98,Low
1-30043-A-26,1-30043-A-26.wav,1,26,laughing,False,human_activity,63.42,1.01,3,6,81.24,7.95,1.44,1.88,2.22,6.86,Low
1-30214-A-18,1-30214-A-18.wav,1,18,toilet_flush,False,human_activity,72.0,0.54,19,1,97.68,8.34,1.63,1.0,1.34,6.38,Low
1-30226-A-0,1-30226-A-0.wav,1,0,dog,True,natural,66.78,2.54,13,4,80.48,8.91,1.09,1.0,1.0,6.05,Low
1-30344-A-0,1-30344-A-0.wav,1,0,dog,True,natural,82.8,1.08,13,3,87.05,8.24,1.0,1.05,1.0,8.73,Low
1-30709-A-23,1-30709-A-23.wav,1,23,breathing,False,human_activity,28.39,0.71,13,2,84.88,9.08,1.0,1.0,1.0,0.36,Low
1-30709-B-23,1-30709-B-23.wav,1,23,breathing,False,human_activity,33.52,2.22,18,1,81.34,8.92,1.0,1.04,1.0,6.14,Low
1-30709-C-23,1-30709-C-23.wav,1,23,breathing,False,human_activity,25.0,0.17,16,2,93.14,8.42,1.0,1.06,1.0,7.3,Low
1-30830-A-24,1-30830-A-24.wav,1,24,coughing,False,human_activity,54.47,0.34,6,3,82.36,9.71,1.0,1.0,1.0,3.78,Low
1-31251-A-6,1-31251-A-6.wav,1,6,hen,False,natural,69.03,3.01,17,2,78.64,8.49,1.06,1.0,1.93,3.19,Low
1-31251-B-6,1-31251-B-6.wav,1,6,hen,False,natural,61.6,0.42,12,3,91.8,8.63,1.21,1.0,1.0,2.14,Low
1-31482-A-42,1-31482-A-42.wav,1,42,siren,False,traffic,126.65,12.0,1,0,20.0,2.71,9.85,8.9,7.39,100.0,Severe
1-31482-B-42,1-31482-B-42.wav,1,42,siren,False,traffic,111.34,1.76,8,0,65.38,6.84,4.18,2.82,2.5,42.49,Moderate
1-31748-A-21,1-31748-A-21.wav,1,21,sneezing,True,human_activity,60.18,0.66,23,1,94.42,8.22,1.59,1.0,1.0,7.22,Low
1-31836-A-4,1-31836-A-4.wav,1,4,frog,False,natural,47.86,0.1,13,1,90.19,8.63,1.0,1.06,1.45,5.6,Low
1-31836-B-4,1-31836-B-4.wav,1,4,frog,False,natural,52.12,10.67,9,6,88.14,7.33,1.11,1.0,1.0,5.16,Low
1-32318-A-0,1-32318-A-0.wav,1,0,dog,True,natural,93.75,12.0,10,5,83.6,8.12,1.45,1.62,1.0,11.22,Low
1-32373-A-35,1-32373-A-35.wav,1,35,washing_machine,False,human_activity,90.87,0.55,11,3,78.49,8.03,1.88,1.52,1.33,11.25,Low
1-32373-B-35,1-32373-B-35.wav,1,35,washing_machine,False,human_activity,84.94,2.28,19,2,85.11,8.79,2.02,1.87,1.69,12.78,Low
1-32579-A-29,1-32579-A-29.wav,1,29,drinking_sipping,False,human_activity,35.53,0.23,0,5,91.4,9.37,1.14,1.0,1.0,2.56,Low
1-33658-A-26,1-33658-A-26.wav,1,26,laughing,False,human_activity,68.29,0.31,0,3,77.0,7.79,1.28,1.0,1.77,3.36,Low
1-34094-A-5,1-34094-A-5.wav,1,5,cat,False,natural,71.72,12.0,13,6,83.81,9.6,1.31,1.06,1.0,1.11,Low
1-34094-B-5,1-34094-B-5.wav,1,5,cat,False,natural,60.39,3.22,14,6,85.86,8.41,1.15,1.89,1.19,0.52,Low
1-34119-A-1,1-34119-A-1.wav,1,1,rooster,True,natural,92.31,1.04,10,0,81.86,7.81,1.78,2.53,1.31,3.82,Low
1-34119-B-1,1-34119-B-1.wav,1,1,rooster,True,natural,90.65,12.0,18,1,78.28,7.34,2.2,1.68,1.72,15.98,Low
1-34495-A-14,1-34495-A-14.wav,1,14,chirping_birds,False,natural,46.12,1.75,10,6,97.85,8.34,1.28,1.0,1.0,1.0,Low
1-34497-A-14,1-34497-A-14.wav,1,14,chirping_birds,False,natural,41.43,2.59,6,6,88.79,8.39,1.49,1.45,1.0,5.33,Low
1-34853-A-37,1-34853-A-37.wav,1,37,clock_alarm,False,human_activity,84.35,0.89,7,3,83.73,8.48,1.4,1.61,1.29,3.02,Low
1-35687-A-38,1-35687-A-38.wav,1,38,clock_tick,True,human_activity,29.01,2.94,22,0,78.96,8.64,1.0,1.72,1.0,0.0,Low
